,Song_Name,Artist,Length,Bpm,Key,Loudness,Popularity,Energy,Speechiness,Danceability,Positiveness,Liveness,Instrumentalness,Release_Date,Country_Code
0,Promiscuous,"Nelly Furtado, Timbaland",04:02,114,A# Minor,-6.1db,82%,97%,5%,81%,87%,15%,0%,1st January 2006,USUM70603473
1,Another Year - 2006 Remaster,Labi Siffre,04:14,137,E Major,-9.74db,25%,49%,3%,49%,44%,30%,0%,20th June 1975,GBAYE0600069
2,Cool Me Down,The Black Seeds,04:59,91,G Minor,-6.5db,31%,66%,4%,80%,75%,17%,4%,20th June 2021,NZEM00600053
3,Alive - 2006 Remaster,P.O.D.,03:23,81,D Minor,-3.76db,57%,95%,8%,41%,55%,31%,0%,27th October 2006,USAT20621525
4,Put Your Records On,Corinne Bailey Rae,03:35,96,A Major,-7.84db,78%,51%,4%,74%,54%,13%,0%,1st January 2006,GBAYE0501671
5,Summer of 300 Years,2002,05:26,172,E Major,-20.32db,31%,11%,3%,22%,9%,10%,85%,1st May 1998,USR2M9800001
6,Maneater,Nelly Furtado,04:18,133,F# Major,-4.81db,80%,78%,4%,80%,79%,12%,0%,1st January 2006,USUM70601449
7,Boom - 2006 Remaster,P.O.D.,03:07,91,D Major,-5.57db,51%,92%,7%,56%,54%,5%,0%,27th October 2006,USAT20621523
8,Naive,The Kooks,03:23,100,G# Minor,-6.21db,62%,81%,9%,39%,74%,15%,0%,1st January 2006,GBAAA0500836
9,Summer of 300 Years,2002,05:26,172,E Major,-20.32db,18%,11%,3%,22%,9%,10%,85%,1st October 2002,USR2M9800001
10,Chasing Cars,Snow Patrol,04:27,104,A Major,-4.53db,78%,60%,3%,56%,14%,13%,0%,1st January 2006,GBUM70600345
11,Sleeping Awake - 2006 Remaster,P.O.D.,03:24,133,A# Major,-4.52db,42%,88%,5%,23%,39%,66%,0%,27th October 2006,USAT20621527
12,Smack That,"Akon, Eminem",03:32,119,F Minor,-5.17db,71%,74%,5%,94%,93%,9%,0%,20th June 2021,USUM70609036
13,"Next Year - Live at the Pantages Theatre, Los Angeles, CA - August 200...",Foo Fighters,04:34,175,G Major,-4.34db,38%,87%,4%,19%,61%,35%,2%,7th November 2006,USRW30600040
14,Snow (Hey Oh),Red Hot Chili Peppers,05:34,105,B Major,-3.67db,79%,90%,5%,43%,60%,12%,0%,9th May 2006,USWB10601591
15,Youth of the Nation - 2006 Remaster,P.O.D.,04:18,98,G# Major,-6.14db,38%,90%,7%,56%,42%,39%,1%,27th October 2006,USAT20621526
16,Life is a Highway,Rascal Flatts,04:36,103,F Major,-3.85db,76%,95%,7%,58%,66%,22%,0%,1st January 2006,USL2S0620350
17,Humpty Dumpty - 2006 Remastered Version,Marc Moulin,02:32,104,A# Minor,-9.2db,37%,53%,3%,66%,63%,11%,91%,12th June 2006,BEC420600002
18,So Sick,Ne-Yo,03:27,93,F# Major,-8.34db,77%,57%,31%,45%,58%,19%,0%,1st January 2006,USUM70501633
19,Southtown - 2006 Remaster,P.O.D.,04:08,159,F Major,-6.13db,34%,88%,9%,20%,26%,20%,46%,27th October 2006,USAT20621522
20,Get Away,Katchafire,03:31,93,A Minor,-6.91db,46%,55%,5%,80%,84%,27%,0%,24th May 2006,JMA271501706
21,Balek - 2006 Remastered Version,Marc Moulin,04:19,89,C Minor,-10.39db,37%,51%,4%,50%,15%,11%,84%,12th June 2006,BEC420600001
22,The Sweet Escape,"Gwen Stefani, Akon",04:06,120,C# Major,-3.5db,71%,77%,3%,76%,73%,18%,0%,1st December 2006,USUM70618684
23,Goodbye for Now - 2006 Remaster,P.O.D.,04:33,94,G Minor,-5.19db,31%,89%,6%,46%,44%,14%,0%,27th October 2006,USAT20621530
24,Crazy,Gnarls Barkley,03:02,112,G# Major,-4.59db,72%,59%,3%,86%,64%,11%,1%,24th April 2006,USAT20611041
25,Execute the Sounds - 2006 Remaster,P.O.D.,03:01,92,F Major,-4.45db,29%,93%,7%,50%,32%,10%,0%,27th October 2006,USAT20621531
26,Upside Down,Jack Johnson,03:29,102,E Major,-8.31db,70%,65%,5%,79%,69%,13%,0%,24th February 2006,USUG10500591
27,Set Your Eyes to Zion - 2006 Remaster,P.O.D.,04:07,137,D Minor,-5.89db,26%,86%,5%,48%,70%,23%,0%,27th October 2006,USAT20621535
28,Waiting On the World to Change,John Mayer,03:21,177,D Major,-5.82db,73%,76%,12%,58%,66%,25%,0%,11th September 2006,USSM10602589
29,Roots in Stereo - 2006 Remaster,P.O.D.,04:43,81,F Minor,-4.37db,28%,92%,13%,47%,61%,12%,0%,27th October 2006,USAT20621524
30,Teenagers,My Chemical Romance,02:41,112,E Major,-3.06db,79%,86%,6%,46%,86%,18%,0%,23rd October 2006,USRE10602912
31,Satellite - 2006 Remaster,P.O.D.,03:31,156,G Major,-4.51db,28%,94%,7%,45%,31%,11%,0%,27th October 2006,USAT20621534
32,Your Man,Josh Turner,03:31,101,F# Major,-4.48db,73%,64%,2%,74%,79%,7%,0%,20th June 2021,USUM70500903
33,Will You - 2006 Remaster,P.O.D.,03:47,130,D Minor,-3.61db,28%,92%,8%,30%,53%,15%,0%,27th October 2006,USAT20621532
34,Don't Matter,Akon,04:53,125,D Major,-6.04db,66%,45%,4%,80%,34%,23%,0%,20th June 2021,USUM70615300
35,If It Wasn't for You - 2006 Remaster,P.O.D.,03:38,63,E Minor,-4.94db,25%,88%,9%,24%,41%,27%,0%,27th October 2006,USAT20621537
36,SexyBack,"Justin Timberlake, Timbaland",04:02,117,G Minor,-5.56db,79%,58%,8%,97%,96%,5%,0%,12th September 2006,USJI10600269
37,The End of the Line (2006),Hogsnort Rupert,03:24,168,D Major,-6.49db,5%,82%,6%,51%,77%,7%,0%,20th June 2021,NZRI11000872
38,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,03:53,97,F Minor,-5.74db,75%,37%,3%,77%,68%,17%,0%,20th June 2021,GBUM70702678
39,Lights Out - 2006 Remaster,P.O.D.,02:45,179,A Major,-4.18db,26%,97%,28%,21%,49%,30%,0%,27th October 2006,USAT20621529
40,Big Girls Don't Cry (Personal),Fergie,04:28,113,G Major,-4.3db,75%,64%,3%,71%,25%,9%,0%,1st January 2006,USUM70609115
41,Through The Years - Remastered 2006,Kenny Rogers,04:22,131,G Major,-7.11db,32%,48%,3%,56%,24%,14%,0%,12th February 2021,USCN10500370
42,Dani California,Red Hot Chili Peppers,04:42,96,C Major,-2.36db,77%,91%,4%,56%,73%,35%,0%,9th May 2006,USWB10600700
43,Rock the Party (Off the Hook) - Off the Hook; 2006 Remaster,P.O.D.,03:26,101,D Major,-5.17db,27%,94%,8%,56%,70%,73%,4%,27th October 2006,USAT20621528
44,Say It Right,Nelly Furtado,03:43,117,C# Major,-6.33db,75%,87%,14%,87%,81%,5%,0%,1st January 2006,USUM70603368
45,Nothin' But A Good Time - Remastered 2006,Poison,03:43,129,C# Major,-2.79db,30%,97%,8%,58%,52%,16%,0%,1st January 2006,USCA20501298
46,Gravity,John Mayer,04:05,124,G Major,-9.88db,73%,33%,3%,75%,24%,24%,0%,11th September 2006,USSM10603628
47,Devil Woman - 2001 Remaster,Cliff Richard,03:37,116,G Major,-7.05db,48%,72%,4%,73%,87%,12%,0%,10th November 2017,GBAYE0100609
48,Down Time,Aaradhna,03:34,85,C# Minor,-6.2db,51%,40%,12%,49%,54%,18%,0%,1st January 2006,NZDR00500043
49,The Young Ones - 2005 Remaster,"Cliff Richard, The Shadows",03:09,136,G Major,-5.97db,50%,59%,3%,43%,79%,33%,0%,10th November 2017,GBAYE0500916
50,Slow Dancing in a Burning Room,John Mayer,04:02,134,C# Minor,-8.69db,75%,36%,3%,67%,29%,8%,1%,11th September 2006,USSM10603632
51,Evangeline,Cocteau Twins,04:29,104,C Major,-7.14db,38%,59%,3%,48%,46%,39%,0%,5th October 2018,GBF089390057
52,Working Class Man - David Nicholas Mix,"Jimmy Barnes, David Nicholas",04:10,138,B Major,-3.91db,61%,94%,10%,37%,39%,16%,0%,4th December 2006,AULI00629010
53,Know Who You Are At Every Age,Cocteau Twins,03:38,112,E Minor,-7.75db,39%,67%,3%,58%,59%,31%,0%,5th October 2018,GBF089390056
54,Electric Dream,Shapeshifter,05:40,180,B Major,-8.27db,46%,74%,4%,54%,57%,16%,24%,1st August 2006,NZTT00600005
55,C2006p1 (Make Yourself at Home),"Don McGlashan, The Seven Sisters",03:04,125,E Major,-5.53db,2%,91%,4%,48%,69%,11%,0%,1st May 2009,NZAH00800067
56,Welcome to the Black Parade,My Chemical Romance,05:11,97,D Major,-4.1db,78%,91%,8%,22%,24%,22%,0%,23rd October 2006,USRE10602613
57,The One I Love - Remastered 2006,R.E.M.,03:17,128,D Major,-6.63db,22%,82%,3%,51%,70%,17%,0%,1st January 2006,USCA20601202
58,Face Down,The Red Jumpsuit Apparatus,03:12,93,G Minor,-2.19db,76%,93%,4%,55%,46%,13%,0%,1st January 2006,USVI20600108
59,You've Lost That Lovin' Feelin' - 2006 Digital Remaster,Long John Baldry,03:24,96,C Major,-8.77db,20%,34%,3%,40%,31%,11%,0%,1st January 2006,GBAYE0501911
60,She Moves In Her Own Way,The Kooks,02:49,153,G Major,-5.36db,56%,80%,6%,41%,81%,10%,0%,1st January 2006,GBAAA0500835
61,Pur,Cocteau Twins,05:02,156,C Major,-7.49db,29%,59%,3%,29%,7%,11%,0%,5th October 2018,GBF089390065
62,Glamorous,"Fergie, Ludacris",04:06,131,C Major,-6.45db,70%,76%,23%,81%,57%,10%,0%,1st January 2006,USUM70609119
63,Losing a Whole Year,Third Eye Blind,03:20,176,E Major,-5.04db,51%,86%,4%,41%,55%,8%,0%,18th July 2006,USEE19701201
64,The Pot,TOOL,06:21,107,G Major,-6.89db,68%,79%,4%,47%,47%,28%,37%,28th April 2006,USVR10600023
65,It's The End Of The World As We Know It (And I Feel Fine) - Remastered...,R.E.M.,04:05,103,G Major,-4.62db,30%,95%,5%,34%,77%,4%,0%,1st January 2006,USCA20600783
66,When You Were Young,The Killers,03:40,130,B Major,-3.31db,76%,99%,11%,47%,32%,28%,5%,27th September 2006,USUM70605164
67,We Don't Talk Anymore - 2001 Remaster,Cliff Richard,04:17,112,C Major,-8.4db,58%,68%,3%,75%,70%,20%,0%,10th November 2017,GBAYE0100642
68,The Power Of Love,Huey Lewis & The News,03:54,119,F Major,-5.11db,75%,83%,3%,77%,96%,10%,0%,1st January 2006,USCA20600519
69,Bluebeard,Cocteau Twins,03:54,95,E Major,-5.87db,38%,76%,3%,44%,51%,9%,0%,5th October 2018,GBF089390058
70,I Wanna Love You,"Akon, Snoop Dogg",04:07,100,C Major,-9.39db,67%,45%,4%,87%,35%,31%,0%,20th June 2021,USUM70615284
71,Radio Free Europe - Remastered 2006,R.E.M.,04:06,155,E Major,-6.67db,26%,88%,5%,36%,70%,12%,3%,1st January 2006,USCA20600768
72,Rehab,Amy Winehouse,03:34,72,C Major,-13.61db,75%,56%,6%,41%,78%,34%,0%,20th June 2021,GBUM70603730
73,Squeeze-Wax,Cocteau Twins,03:48,95,C Major,-7.11db,29%,68%,3%,47%,60%,24%,0%,5th October 2018,GBF089390061
74,Fergalicious,"Fergie, will.i.am",04:52,129,G# Minor,-7.72db,72%,58%,32%,91%,83%,13%,0%,1st January 2006,USUM70609117
75,I Love to Boogie (2006),Hogsnort Rupert,02:56,178,A Major,-6.35db,1%,88%,8%,43%,96%,31%,0%,20th June 2021,NZRI11000867
76,Me & U,Cassie,03:12,100,G# Minor,-4.8db,73%,45%,3%,80%,74%,7%,0%,7th August 2006,USBB40610361
77,Daydream (2006),Hogsnort Rupert,02:54,106,C Major,-7.21db,1%,57%,4%,62%,62%,17%,0%,20th June 2021,NZRI11000871
78,Supermassive Black Hole,Muse,03:32,120,G Major,-3.73db,76%,92%,4%,67%,78%,9%,1%,19th June 2006,GBAHT0500593
79,Radio Free Europe - Remastered 2006,R.E.M.,04:06,155,E Major,-6.67db,18%,88%,5%,36%,70%,12%,3%,1st January 2006,USCA20600768
80,Sexy Love,Ne-Yo,03:40,94,G# Major,-6.45db,68%,52%,4%,69%,49%,6%,0%,1st January 2006,USUM70600316
81,Ups,Cocteau Twins,03:34,113,A Major,-7.19db,22%,75%,5%,22%,72%,35%,0%,5th October 2018,GBF089500694
82,Smile,Lily Allen,03:16,96,F Major,-5.94db,61%,64%,3%,63%,73%,22%,0%,14th July 2006,GBAYE0600634
83,Aria - 2006 Remastered Version,Marc Moulin,04:53,105,F Minor,-11.47db,21%,47%,3%,52%,55%,20%,85%,12th June 2006,BEC420600007
84,My Love,"Justin Timberlake, T.I.",04:36,120,B Minor,-5.88db,71%,68%,22%,77%,81%,68%,0%,13th September 2006,USJI10600477
85,Mighty Man (2006),Hogsnort Rupert,04:15,121,F# Minor,-6.1db,0%,79%,4%,69%,90%,28%,0%,20th June 2021,NZRI11000873
86,Young Folks,Peter Bjorn and John,04:39,138,C Major,-6.01db,66%,81%,4%,70%,66%,11%,0%,1st January 2006,SEBPA0600024
87,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
88,Through Glass,Stone Sour,04:42,106,D# Minor,-4.62db,72%,75%,4%,55%,43%,39%,0%,20th June 2021,NLA320682289
89,Summerhead,Cocteau Twins,03:37,95,G Major,-6.34db,32%,70%,3%,44%,56%,24%,0%,5th October 2018,GBF089390064
90,Shortie Like Mine,"Bow Wow, Chris Brown, Johnta Austin",04:28,142,G Minor,-8.13db,65%,64%,22%,76%,70%,19%,0%,18th December 2006,USSM10600952
91,Essence,Cocteau Twins,03:01,64,F# Minor,-11.79db,26%,31%,4%,6%,4%,32%,78%,5th October 2018,GBF089390063
92,Caribou Lou,Tech N9ne,04:31,178,C# Major,-2.87db,65%,83%,27%,78%,51%,6%,0%,20th June 2021,USZHR0600009
93,So. Central Rain - Remastered 2006,R.E.M.,03:15,146,D Minor,-8.75db,19%,81%,3%,49%,75%,16%,0%,1st January 2006,USCA20600775
94,SOS,Rihanna,03:58,137,G Major,-4.91db,73%,67%,4%,68%,53%,41%,0%,10th April 2006,USUM70507379
95,Half-Gifts,Cocteau Twins,04:18,89,C Major,-10.67db,28%,43%,3%,43%,33%,12%,0%,5th October 2018,GBF089500733
96,Would You Go With Me,Josh Turner,03:48,123,F# Major,-5.37db,78%,86%,3%,61%,74%,11%,0%,20th June 2021,USUM70504291
97,Oil Of Angels,Cocteau Twins,04:37,120,F Major,-9.19db,28%,44%,3%,71%,39%,11%,0%,5th October 2018,GBF089390060
98,Who You With,Katchafire,04:07,133,C Major,-7.84db,39%,47%,7%,83%,94%,15%,0%,24th May 2006,JMA271501707
99,"Theft, And Wandering Around Lost",Cocteau Twins,04:30,150,C Minor,-8.33db,27%,60%,3%,41%,49%,11%,1%,5th October 2018,GBF089390059
100,I Bet You Look Good On The Dancefloor,Arctic Monkeys,02:53,103,F# Minor,-4.19db,62%,95%,4%,54%,78%,38%,0%,29th January 2006,GBCEL0501181
101,My Truth,Cocteau Twins,04:32,175,A Major,-10.11db,30%,46%,4%,42%,58%,10%,1%,5th October 2018,GBF089390062
102,Back To Black,Amy Winehouse,04:01,123,G Minor,-13.96db,75%,42%,4%,40%,38%,9%,0%,19th June 2021,GBUM70604698
103,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
104,You Give Me Something,James Morrison,03:32,80,C Major,-6.49db,52%,69%,12%,56%,57%,9%,0%,1st January 2006,GBUM70600967
105,Violaine,Cocteau Twins,03:45,134,G Major,-8.45db,27%,65%,3%,42%,68%,35%,0%,5th October 2018,GBF089500688
106,The Diary of Jane - Single Version,Breaking Benjamin,03:20,167,A# Minor,-4.44db,74%,96%,6%,39%,27%,11%,4%,1st January 2006,USHR10622153
107,Begin The Begin - Remastered 2006,R.E.M.,03:29,125,D Major,-5.01db,12%,95%,5%,48%,62%,28%,1%,1st January 2006,USCA20600008
108,Who Knew,P!nk,03:28,140,A Major,-4.57db,70%,73%,3%,69%,46%,8%,0%,4th April 2006,USLF20600021
109,Serpentskirt,Cocteau Twins,03:57,156,E Minor,-6.72db,42%,56%,3%,31%,61%,15%,0%,5th October 2018,GBF089500689
110,Chin Check,N.W.A.,03:41,100,D Major,-5.78db,64%,78%,27%,91%,84%,15%,0%,26th December 2006,USPO19900508
111,Tishbite,Cocteau Twins,03:50,80,A Major,-6.71db,26%,68%,3%,36%,67%,8%,66%,5th October 2018,GBF089500690
112,When The Sun Goes Down,Arctic Monkeys,03:22,169,B Minor,-4.76db,61%,88%,20%,35%,41%,12%,0%,29th January 2006,GBCEL0501190
113,The One I Love - Remastered 2006,R.E.M.,03:17,128,D Major,-6.63db,16%,82%,3%,51%,70%,17%,0%,1st January 2006,USCA20601202
